职位名,公司名,工作地点,薪资,发布日期
"

                    Java开发工程师                
",成都众联汇达科技有限公司,成都-高新区,1.2-2万/月,10-17
"

                    行业JAVA 开发工程师                
",西安环太科技发展有限公司,西安-高新技术...,5-8千/月,10-17
"

                    Java开发工程师                
",合肥苍龙网络信息有限公司,合肥,10-15万/年,10-17
"

                    Java程序员                
",铜陵玉成软件科技有限责任公司,异地招聘,6-8千/月,10-17
"

                    Java开发工程师                
",福建瑞聚信息技术股份有限公司,成都,5-8千/月,10-17
"

                    Java开发工程师                
",西安盈达信息科技有限公司,西安-雁塔区,0.8-1.6万/月,10-17
"

                    Java中级开发工程师（非外包）                
",深圳市惠享天成科技有限公司,深圳-龙岗区,1.1-1.6万/月,10-17
"

                    Java开发工程师                
",重庆暖石科技有限公司,重庆-渝中区,1-1.5万/月,10-17
"

                    Java中级开发工程师                
",上海哇咕信息科技有限公司,上海-虹口区,1.8-3万/月,10-17
"

                    Java系统开发工程师                
",长光禹辰信息技术与装备（青岛）有...,青岛-城阳区,0.7-1.2万/月,10-17
"

                    Java开发工程师                
",四川语言桥信息技术有限公司,北京-朝阳区,1.5-2万/月,10-17
"

                    Java高级开发工程师 （研发部）                
",深圳市华云中盛科技有限公司,深圳-南山区,1.5-2.5万/月,10-17
"

                    Java初级开发工程师（五险双休+员工宿舍）                
",中联高科（大连）实业有限公司,大连-高新园区,4.5-6千/月,10-17
"

                    Java开发工程师                
",上海沪万智能科技有限公司,上海-长宁区,0.8-1.5万/月,10-17
"

                    JAVA软件工程师                
",浙江摩根智能技术有限公司,宁波-镇海区,6-8千/月,10-17
"

                    初级Java开发实习/助理                
",合肥微网网络科技有限公司,异地招聘,4.5-6千/月,10-17
"

                    Java开发工程师                
",云南朗睿信息科技有限公司,昆明,0.8-1万/月,10-17
"

                    Java研发工程师                
",北京亚鸿世纪科技发展有限公司,北京,,10-17
"

                    Java开发工程师                
",广州霆格科技有限公司,佛山-顺德区,1-1.5万/月,10-17
"

                    高级Java开发工程师 (ITS010)                
",冯氏咨询服务（广州）有限公司,广州-番禺区,2-2.5万/月,10-17
"

                    Java开发工程师                
",普华永道商务服务（成都）有限公司...,成都-高新区,1-1.5万/月,10-17
"

                    Java高级开发工程师                
",四川格物智享科技有限公司,成都-高新区,1-1.5万/月,10-17
"

                    JAVA技术经理(17)                
",上海复深蓝软件股份有限公司,上海-徐汇区,1.5-2万/月,10-17
"

                    Java中高级开发工程师                
",上海穗禾信息科技有限公司,上海-长宁区,1-2万/月,10-17
"

                    Java高级软件工程师                
",深圳启奥朗程科技有限公司,深圳-龙华新区,1.5-2万/月,10-17
"

                    JAVA开发工程师（中高级）                
",无锡智杰教育科技有限公司,无锡,0.9-1.3万/月,10-17
"

                    Java高级开发工程师                
",长沙思科电子商务有限公司,长沙-岳麓区,1-1.8万/月,10-17
"

                    Java开发工程师(J11753)                
",上海龙旗科技股份有限公司,上海-徐汇区,1-1.5万/月,10-17
"

                    Java开发工程师                
",深圳市亚太未来教育科技发展有限公...,东莞-东坑镇,1.6-2.6万/月,10-17
"

                    Java开发工程师                
",西安牛哞哞软件科技有限公司,西安-雁塔区,0.7-1.2万/月,10-17
"

                    Java开发工程师                
",善理通益信息科技（深圳）有限公司...,深圳-南山区,1-1.5万/月,10-17
"

                    Java开发经理                
",立得空间信息技术股份有限公司,北京-海淀区,2.5-3.5万/月,10-17
